"course_code","assignment_title","due_date","question","option_a","option_b","option_c","option_d","correct_option","marks","explanation"
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","What is the worst-case time complexity of QuickSort?","O(n log n)","O(n^2)","O(n)","O(log n)","B","1","QuickSort degrades to O(n^2) when the pivot chosen is consistently the smallest or largest element."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","Which data structure operates on a Last-In-First-Out (LIFO) basis?","Queue","Array","Stack","Linked List","C","1","A Stack is a linear data structure following the LIFO principle."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","What is the average time complexity for searching an element in a Hash Table?","O(1)","O(n)","O(log n)","O(n log n)","A","1","Under good hash distribution without excessive collisions, average lookup in a Hash Table is O(1)."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","Which algorithm design paradigm does Dijkstra single-source shortest path algorithm follow?","Divide and Conquer","Dynamic Programming","Greedy Approach","Backtracking","C","1","Dijkstra algorithm iteratively selects the unvisited vertex with the minimum tentative distance using a greedy strategy."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","Which of the following sorting algorithms is guaranteed to be stable and have O(n log n) worst-case time complexity?","HeapSort","MergeSort","QuickSort","SelectionSort","B","1","MergeSort has guaranteed O(n log n) time complexity across all cases and maintains the relative order of equal keys (stable)."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","In an AVL tree, what is the maximum permissible difference between the heights of the left and right subtrees of any node?","0","1","2","Any integer value","B","1","An AVL tree is a self-balancing binary search tree where balance factor (height difference) must be -1, 0, or +1."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","Which graph traversal algorithm uses a First-In-First-Out (FIFO) queue for its implementation?","Depth First Search (DFS)","Breadth First Search (BFS)","Topological Sort","Kruskal Algorithm","B","1","BFS explores nodes level by level using a FIFO queue."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","What problem does the 0/1 Knapsack problem represent?","Greedy Selection","Dynamic Programming Optimization","Divide and Conquer Search","Linear Sorting","B","1","The 0/1 Knapsack problem exhibits overlapping subproblems and optimal substructure, solved effectively using dynamic programming."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","Which data structure is most efficient for implementing a Priority Queue?","Array","Binary Heap","Singly Linked List","Stack","B","1","A Binary Heap allows insertion and extraction of the priority element in O(log n) time."
"IT701","Assignment 1: Algorithms & Data Structures Assessment","2026-09-18 23:59:00","What is the time complexity of searching for a key in a balanced Binary Search Tree (BST) containing n nodes?","O(1)","O(n)","O(log n)","O(n^2)","C","1","In a balanced BST with height log2(n), searching for an element takes O(log n) time."
